UDN,estado_sistema,cod_cliente,cod_directorio,razon_social,den_comercial,tipo_fiscal,tipo_entrega,responsable,telefono,calle,num_calle_ext,num_calle_int,colonia,entrecalle1,entrecalle2,cp,map_x,map_y,observaciones,frecuencia,ruta_preventa,ruta_entrega,ruta_autoventa,S_GUID,secuencia,secuencia_ent,fecha_alta,paq_servicio,correo,estado_credito,dias_credito,limite_credito,observaciones_cred,cp_sat
UDN_000002,40,CLIENTE_017524,DIR_000001,Cliente 017524,Cliente 017524,1,1,,5550000001,Domicilio anonimizado 0001,,,ANON,,,00000,0,0,,MJS,,,03HO02,fb242dc9-7bff-4f7e-bf7f-35ca8ec842c6,0,385,12/02/2026,,,0,0,0,,00000
UDN_000002,30,CLIENTE_015818,DIR_000001,Cliente 015818,Cliente 015818,1,1,,,Domicilio anonimizado 0002,ANON,,ANON,,,00000,0,0,,,,,,629de5cc-e20a-434f-bc94-c2498a7176eb,0,0,02/06/2019,,,0,0,0,,00000
UDN_000002,30,CLIENTE_019690,DIR_000002,Cliente 019690,Cliente 019690,0,1,,,Domicilio anonimizado 0003,ANON,,ANON,,,00000,,,,MJS,,,,89a06da2-88ac-43f8-84f1-107f462c2f65,0,190,04/07/2020,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016860,DIR_000001,Cliente 016860,Cliente 016860,1,1,,5550000004,Domicilio anonimizado 0004,,,ANON,,,00000,0,0,,M,,,,4e3b44c6-03bf-412d-ae99-11c94836b825,0,170,30/06/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017011,DIR_000001,Cliente 017011,Cliente 017011,1,1,,5550000005,Domicilio anonimizado 0005,,,ANON,,,00000,0,0,,MJS,,,,7c33d72e-d603-4469-8074-7e6fdbeeb257,0,870,03/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017418,DIR_000001,Cliente 017418,Cliente 017418,1,1,,5550000006,Domicilio anonimizado 0006,,,ANON,,,00000,0,0,,MJS,,,,97d7cd20-b318-4981-a007-ef5cc83a0c84,0,331,03/07/2025,,,0,0,0,,
UDN_000002,30,CLIENTE_016675,DIR_000001,Cliente 016675,Cliente 016675,1,1,,5550000007,Domicilio anonimizado 0007,,,ANON,,,00000,0,0,,LMV,,,,468a67db-fefe-4e08-8d97-3d96f9575410,0,40,03/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017029,DIR_000001,Cliente 017029,Cliente 017029,1,1,,5550000008,Domicilio anonimizado 0008,,,ANON,,,00000,0,0,,LMV,,,,6aabf21e-ff03-4e68-8627-778a62b02ae4,0,435,03/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017041,DIR_000001,Cliente 017041,Cliente 017041,1,1,,5550000009,Domicilio anonimizado 0009,,,ANON,,,00000,0,0,,MJS,,,,7d280ffa-50b4-4259-991e-a7a4ffb477a3,0,340,03/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017354,DIR_000001,Cliente 017354,Cliente 017354,1,1,,5550000010,Domicilio anonimizado 0010,,,ANON,,,00000,0,0,,LMV,,,,6288a23a-f6e6-4c43-b0d3-4d86eeba31f5,0,1006,06/07/2025,,,0,0,0,,
UDN_000002,30,CLIENTE_017166,DIR_000001,Cliente 017166,Cliente 017166,1,1,CONTACTO_000002,5550000011,Domicilio anonimizado 0011,,,ANON,,,00000,0,0,,MV,,,,f6e78496-78f2-47b7-8870-6105da88c2d1,0,250,06/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017307,DIR_000001,Cliente 017307,Cliente 017307,1,1,,5550000012,Domicilio anonimizado 0012,,,ANON,,,00000,0,0,,LMV,,,,37204fc9-9aed-445b-b315-4815fced6ae2,0,655,06/07/2025,,,0,0,0,,
UDN_000002,30,CLIENTE_016469,DIR_000001,Cliente 016469,Cliente 016469,1,1,,,Domicilio anonimizado 0013,,,ANON,,,00000,0,0,,MJS,,,,6bf4c0c2-cf62-42bb-9751-1d743205c537,0,125,06/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_015890,DIR_000001,Cliente 015890,Cliente 015890,1,1,,5550000014,Domicilio anonimizado 0014,,,ANON,,,00000,0,0,,MJS,,,,98c05a65-1f88-4907-9deb-c5c4216b351d,0,120,06/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016006,DIR_000001,Cliente 016006,Cliente 016006,1,1,,,Domicilio anonimizado 0015,,,ANON,,,00000,0,0,,MJS,,,,b9398cdb-f02e-4746-8627-b50698cc8f1a,0,25,06/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017395,DIR_000001,Cliente 017395,Cliente 017395,1,1,,5550000016,Domicilio anonimizado 0016,,,ANON,,,00000,0,0,,LMV,,,,dfc2b312-8274-4cf9-a563-96617a12d3c3,0,60,09/07/2025,,,0,0,0,,
UDN_000002,30,CLIENTE_017111,DIR_000001,Cliente 017111,Cliente 017111,1,1,,5550000017,Domicilio anonimizado 0017,,,ANON,,,00000,0,0,,MJS,,,,ab0a3c43-698c-4716-a9d3-747c77313e4f,0,846,09/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017245,DIR_000001,Cliente 017245,Cliente 017245,1,1,,5550000018,Domicilio anonimizado 0018,,,ANON,,,00000,0,0,,LMV,,,,493d82af-33e8-449c-ad2a-789838c79f14,0,485,12/07/2025,,,0,0,0,,
UDN_000002,30,CLIENTE_017435,DIR_000001,Cliente 017435,Cliente 017435,1,1,CONTACTO_000003,5550000019,Domicilio anonimizado 0019,,,ANON,,,00000,0,0,,M,,,,cf8fd3fa-ded6-46c9-b7d6-f6e7ca539ef7,0,236,12/07/2025,,,0,0,0,,
UDN_000002,30,CLIENTE_016686,DIR_000001,Cliente 016686,Cliente 016686,1,1,,,Domicilio anonimizado 0020,,,ANON,,,00000,0,0,,D,,,,eff9e59c-aff3-4017-afdc-526b5d24d466,0,415,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017010,DIR_000001,Cliente 017010,Cliente 017010,1,1,CONTACTO_000004,5550000021,Domicilio anonimizado 0021,,,ANON,,,00000,0,0,,D,,,,bc4a202f-85ed-44ca-b98d-1db42ccd2825,0,620,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017096,DIR_000001,Cliente 017096,Cliente 017096,1,1,,5550000022,Domicilio anonimizado 0022,,,ANON,,,00000,0,0,,D,,,,05a50b95-55c3-4242-a9f7-8587175df84b,0,220,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017097,DIR_000001,Cliente 017097,Cliente 017097,1,1,,5550000023,Domicilio anonimizado 0023,,,ANON,,,00000,0,0,,D,,,,2c825e6f-2bd7-4b2e-bb96-c3722ff58d81,0,1445,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017094,DIR_000001,Cliente 017094,Cliente 017094,1,1,CONTACTO_000005,5550000024,Domicilio anonimizado 0024,,,ANON,,,00000,0,0,,D,,,,014c6cb1-5c38-4151-82ec-3557464bed8a,0,1540,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016659,DIR_000001,Cliente 016659,Cliente 016659,1,1,,,Domicilio anonimizado 0025,,,ANON,,,00000,0,0,,D,,,,8c2b3a08-a52c-47d6-a2b1-c62e6bef3929,0,1420,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016767,DIR_000001,Cliente 016767,Cliente 016767,1,1,,,Domicilio anonimizado 0026,,,ANON,,,00000,0,0,,D,,,,fcb0c882-0ca2-4889-bba3-e4519ffb3e05,0,705,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016783,DIR_000001,Cliente 016783,Cliente 016783,1,1,CONTACTO_000006,,Domicilio anonimizado 0027,,,ANON,,,00000,0,0,,D,,,,1e45cb68-8d70-42c8-bd79-9b39e8daec61,0,210,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016769,DIR_000001,Cliente 016769,Cliente 016769,1,1,CONTACTO_000007,5550000028,Domicilio anonimizado 0028,,,ANON,,,00000,0,0,,D,,,,c66fecd2-dda1-4e73-900e-62b3b5c48bda,0,115,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016696,DIR_000001,Cliente 016696,Cliente 016696,1,1,,,Domicilio anonimizado 0029,,,ANON,,,00000,0,0,,D,,,,3a55668a-5b1d-4175-9ebb-b087f9daf192,0,265,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016785,DIR_000001,Cliente 016785,Cliente 016785,1,1,,5550000030,Domicilio anonimizado 0030,,,ANON,,,00000,0,0,,D,,,,8565bddf-a885-406b-bc4b-df35a9282111,0,295,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016773,DIR_000001,Cliente 016773,Cliente 016773,1,1,CONTACTO_000008,5550000031,Domicilio anonimizado 0031,,,ANON,,,00000,0,0,,D,,,,a396fe44-435d-4a96-8ce9-53499fd7d654,0,1255,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016795,DIR_000001,Cliente 016795,Cliente 016795,1,1,CONTACTO_000009,,Domicilio anonimizado 0032,,,ANON,,,00000,0,0,,D,,,,44ef0a4f-85b6-4db5-b561-144684a98919,0,1400,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017016,DIR_000001,Cliente 017016,Cliente 017016,1,1,,,Domicilio anonimizado 0033,,,ANON,,,00000,0,0,,MJS,,,,087f4d19-c70a-436d-b065-c4b8437dccc4,0,915,16/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017231,DIR_000001,Cliente 017231,Cliente 017231,1,1,,5550000034,Domicilio anonimizado 0034,,,ANON,,,00000,0,0,,LMV,,,,b90e09f4-6491-4443-a62d-afbe403e9800,0,65,19/07/2025,,,0,0,0,,
UDN_000002,30,CLIENTE_017179,DIR_000001,Cliente 017179,Cliente 017179,1,1,CONTACTO_000010,5550000035,Domicilio anonimizado 0035,,,ANON,,,00000,0,0,,MiS,,,,df4604d9-086e-4775-9116-8e79636ef427,0,35,21/07/2025,,,0,0,0,,
UDN_000002,30,CLIENTE_016718,DIR_000001,Cliente 016718,Cliente 016718,1,1,,5550000036,Domicilio anonimizado 0036,,,ANON,,,00000,0,0,,LMV,,,,74062070-6c3c-4e76-86a0-e78fa08fa317,0,260,23/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016707,DIR_000001,Cliente 016707,Cliente 016707,1,1,,5550000037,Domicilio anonimizado 0037,,,ANON,,,00000,0,0,,MJS,,,,12c4869f-eb7b-463c-b840-4e9df002b4c8,0,225,23/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016751,DIR_000001,Cliente 016751,Cliente 016751,1,1,CONTACTO_000011,5550000038,Domicilio anonimizado 0038,,,ANON,,,00000,0,0,,J,,,,de095911-a7dd-429f-b5a2-d19e5b8f128c,0,270,23/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016738,DIR_000001,Cliente 016738,Cliente 016738,1,1,CONTACTO_000012,5550000039,Domicilio anonimizado 0039,,,ANON,,,00000,0,0,,J,,,,c9700402-58d5-41c0-866d-2b4db3afa10f,0,275,23/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017028,DIR_000001,Cliente 017028,Cliente 017028,1,1,,5550000040,Domicilio anonimizado 0040,,,ANON,,,00000,0,0,,MJS,,,,0cac9371-7ac9-4e72-b0ee-e7e321fe3c52,0,805,23/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017136,DIR_000001,Cliente 017136,Cliente 017136,1,1,CONTACTO_000013,5550000041,Domicilio anonimizado 0041,,,ANON,,,00000,0,0,,MV,,,,b2d0b6c9-4fcf-4964-b8a6-a83c58884468,0,66,24/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017326,DIR_000001,Cliente 017326,Cliente 017326,1,1,,5550000042,Domicilio anonimizado 0042,,,ANON,,,00000,0,0,,MJS,,,,6ea8d4ac-85b2-476c-83fe-2a9068e41d04,0,170,24/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017068,DIR_000001,Cliente 017068,Cliente 017068,1,1,CONTACTO_000014,5550000043,Domicilio anonimizado 0043,,,ANON,,,00000,0,0,,LMV,,,,f009d4c8-09da-45e6-b9c0-7dc087c58d44,0,985,24/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017227,DIR_000001,Cliente 017227,Cliente 017227,1,1,CONTACTO_000015,5550000044,Domicilio anonimizado 0044,,,ANON,,,00000,0,0,,LMV,,,,8607b9d7-7dcb-4304-91d1-06a4c1b46645,0,405,24/07/2025,,,0,0,0,,
UDN_000002,30,CLIENTE_016294,DIR_000001,Cliente 016294,Cliente 016294,1,1,CONTACTO_000016,5550000045,Domicilio anonimizado 0045,,,ANON,,,00000,0,0,,MJS,,,,169f287f-5324-44b7-b19a-fbbe55fe39c0,0,125,29/07/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016629,DIR_000001,Cliente 016629,Cliente 016629,1,1,,5550000046,Domicilio anonimizado 0046,,,ANON,,,00000,0,0,,LMV,,,,0d22a5ec-22a7-4a5b-9458-42cc235796e4,0,35,04/08/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_015889,DIR_000001,Cliente 015889,Cliente 015889,1,1,CONTACTO_000017,5550000047,Domicilio anonimizado 0047,,,ANON,,,00000,0,0,,MJS,,,,ae42b0b6-2d06-4f32-9702-474551427846,0,565,04/08/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017128,DIR_000001,Cliente 017128,Cliente 017128,1,1,,5550000048,Domicilio anonimizado 0048,,,ANON,,,00000,0,0,,MJS,,,,d2c2c3fa-6550-43c7-ba86-3c47511b3e8f,0,406,17/08/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016654,DIR_000001,Cliente 016654,Cliente 016654,1,1,,5550000049,Domicilio anonimizado 0049,,,ANON,,,00000,0,0,,MJS,,,,27f8ec32-fc25-4f72-b4df-f449586ebda5,0,245,23/08/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016661,DIR_000001,Cliente 016661,Cliente 016661,1,1,CONTACTO_000018,5550000050,Domicilio anonimizado 0050,,,ANON,,,00000,0,0,,LMV,,,,ec5ace98-ae2b-466d-b447-c036412e9644,0,5,23/08/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016663,DIR_000001,Cliente 016663,Cliente 016663,1,1,,5550000051,Domicilio anonimizado 0051,,,ANON,,,00000,0,0,,LMV,,,,bf0d2e49-d674-46b3-adb9-1a475333b85c,0,315,23/08/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_016666,DIR_000001,Cliente 016666,Cliente 016666,1,1,,5550000052,Domicilio anonimizado 0052,,,ANON,,,00000,0,0,,LMV,,,,f51a85b0-e558-450d-a3d6-c33c904a92d8,0,520,23/08/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017131,DIR_000001,Cliente 017131,Cliente 017131,1,1,,5550000053,Domicilio anonimizado 0053,,,ANON,,,00000,0,0,,LMV,,,,35d81add-480f-4228-a137-286ea47ffb7f,0,835,23/08/2025,,,0,0,0,,00000
UDN_000002,30,CLIENTE_017057,DIR_000001,Cliente 017057,Cliente 017057,1,1,,5550000054,Domicilio anonimizado 0054,,,ANON,,,00000,0,0,,MJS,,,,cb107954-8266-481e-b269-9b88a26eeca4,0,585,24/08/2025,,,0,0,0,,00000
